Iteration,Value,Array_Instance
1,-5.900948336294142,1
2,-5.900948336294142,1
3,-0.6169109010071718,1
4,-0.6169109010071718,1
5,-0.6169109010071718,1
6,-0.6169109010071718,1
7,-0.6169109010071718,1
8,-0.6169109010071718,1
9,-0.4200299562615548,1
10,-0.4200299562615548,1
11,-0.4200299562615548,1
12,-0.4200299562615548,1
13,-0.4057765511976381,1
14,-0.4057765511976381,1
15,-0.3979473515177272,1
16,-0.3979473515177272,1
17,-0.3979473515177272,1
18,-0.3979473515177272,1
19,-0.3979473515177272,1
20,-0.3979259623877205,1
1,-0.5011833776096868,2
2,-0.5011833776096868,2
3,-0.5011833776096868,2
4,-0.5011833776096868,2
5,-0.5011833776096868,2
6,-0.5011833776096868,2
7,-0.4371003245208538,2
8,-0.4371003245208538,2
9,-0.4371003245208538,2
10,-0.4371003245208538,2
11,-0.401486423898314,2
12,-0.401486423898314,2
13,-0.3999220138566635,2
14,-0.3980339310159877,2
15,-0.3979624264147983,2
16,-0.3979624264147983,2
17,-0.3979624264147983,2
18,-0.3979207179570956,2
19,-0.3979058501209529,2
20,-0.3979058501209529,2
1,-1.4983545544884276,3
2,-1.4983545544884276,3
3,-1.4983545544884276,3
4,-1.4983545544884276,3
5,-1.1705665640707021,3
6,-1.1705665640707021,3
7,-0.7088009146116843,3
8,-0.5531618458230589,3
9,-0.4236583004253429,3
10,-0.4236583004253429,3
11,-0.4236583004253429,3
12,-0.4236583004253429,3
13,-0.39938026731385,3
14,-0.39938026731385,3
15,-0.39938026731385,3
16,-0.39938026731385,3
17,-0.3979322056896475,3
18,-0.397922621115093,3
19,-0.39790773234065213,3
20,-0.39790773234065213,3
1,-1.9513859703091931,4
2,-1.9513859703091931,4
3,-1.9513859703091931,4
4,-1.9513859703091931,4
5,-0.6936881177645482,4
6,-0.6936881177645482,4
7,-0.438218407489428,4
8,-0.438218407489428,4
9,-0.438218407489428,4
10,-0.438218407489428,4
11,-0.3979495534087327,4
12,-0.3979495534087327,4
13,-0.3979495534087327,4
14,-0.3979495534087327,4
15,-0.3979495534087327,4
16,-0.3979495534087327,4
17,-0.3979208481955805,4
18,-0.3979208481955805,4
19,-0.3979208481955805,4
20,-0.3979208481955805,4
1,-1.1264213262395906,5
2,-1.1264213262395906,5
3,-1.1264213262395906,5
4,-1.1264213262395906,5
5,-1.1264213262395906,5
6,-1.1264213262395906,5
7,-0.42822891320386525,5
8,-0.42822891320386525,5
9,-0.42822891320386525,5
10,-0.4183350708063003,5
11,-0.4183350708063003,5
12,-0.4167260868806668,5
13,-0.4167260868806668,5
14,-0.40696999852595006,5
15,-0.40020925094975013,5
16,-0.4000076072248753,5
17,-0.39806307955603515,5
18,-0.39806307955603515,5
19,-0.3979858546418793,5
20,-0.3979858546418793,5
1,-6.873587249093137,6
2,-1.9241820409236503,6
3,-1.9241820409236503,6
4,-1.9241820409236503,6
5,-1.9241820409236503,6
6,-1.2685050292382023,6
7,-0.5850670636484967,6
8,-0.5850670636484967,6
9,-0.5850670636484967,6
10,-0.42858765967220513,6
11,-0.42858765967220513,6
12,-0.42858765967220513,6
13,-0.42858765967220513,6
14,-0.39818524000405375,6
15,-0.39818524000405375,6
16,-0.39818524000405375,6
17,-0.39818524000405375,6
18,-0.39818524000405375,6
19,-0.39818524000405375,6
20,-0.3979996276861666,6
1,-0.8433258798663665,7
2,-0.8433258798663665,7
3,-0.8433258798663665,7
4,-0.5742478230747743,7
5,-0.5742478230747743,7
6,-0.5742478230747743,7
7,-0.47070197936471025,7
8,-0.4411253938524755,7
9,-0.3983201392322293,7
10,-0.3983201392322293,7
11,-0.3983201392322293,7
12,-0.3983201392322293,7
13,-0.3983201392322293,7
14,-0.3983201392322293,7
15,-0.3983201392322293,7
16,-0.3983201392322293,7
17,-0.3979731438799874,7
18,-0.3979731438799874,7
19,-0.3979731438799874,7
20,-0.3979672444358453,7
1,-5.379528734324459,8
2,-5.200045452058036,8
3,-4.743597775202172,8
4,-0.7117640608143656,8
5,-0.45797852549145723,8
6,-0.45797852549145723,8
7,-0.45797852549145723,8
8,-0.45797852549145723,8
9,-0.45797852549145723,8
10,-0.45797852549145723,8
11,-0.4162925065939902,8
12,-0.4162925065939902,8
13,-0.4162925065939902,8
14,-0.3983587102438939,8
15,-0.3983587102438939,8
16,-0.3983587102438939,8
17,-0.3983587102438939,8
18,-0.3983587102438939,8
19,-0.3983091169343478,8
20,-0.3980442892716791,8
1,-2.294729656488099,9
2,-2.294729656488099,9
3,-2.294729656488099,9
4,-0.7566500281151143,9
5,-0.7566500281151143,9
6,-0.5656035661103367,9
7,-0.41884512553789754,9
8,-0.41884512553789754,9
9,-0.40981214020177426,9
10,-0.40910537438904093,9
11,-0.40736793099801893,9
12,-0.40736793099801893,9
13,-0.39956505416046006,9
14,-0.39956505416046006,9
15,-0.39930233214066213,9
16,-0.39797776278479624,9
17,-0.39797776278479624,9
18,-0.39797776278479624,9
19,-0.39797776278479624,9
20,-0.39790548033490936,9
1,-5.962389361686251,10
2,-4.70389747801168,10
3,-0.5103769284808752,10
4,-0.5103769284808752,10
5,-0.5103769284808752,10
6,-0.5103769284808752,10
7,-0.5103769284808752,10
8,-0.5103769284808752,10
9,-0.4334837340783846,10
10,-0.4114085575768147,10
11,-0.4114085575768147,10
12,-0.4114085575768147,10
13,-0.4114085575768147,10
14,-0.4114085575768147,10
15,-0.4010599267262904,10
16,-0.4010599267262904,10
17,-0.39904708640318276,10
18,-0.39848756552248865,10
19,-0.39848756552248865,10
20,-0.3981646397724159,10
1,-1.7200690315652452,11
2,-1.7200690315652452,11
3,-0.884962282755394,11
4,-0.884962282755394,11
5,-0.693141162139586,11
6,-0.4637456887782676,11
7,-0.4637456887782676,11
8,-0.4637456887782676,11
9,-0.3994358125571793,11
10,-0.3994358125571793,11
11,-0.3994358125571793,11
12,-0.3994358125571793,11
13,-0.3994358125571793,11
14,-0.3994358125571793,11
15,-0.3994358125571793,11
16,-0.3994358125571793,11
17,-0.3981647963055188,11
18,-0.39813072007387085,11
19,-0.39813072007387085,11
20,-0.39797148280601924,11
1,-9.55676190527182,12
2,-9.55676190527182,12
3,-6.194079113236981,12
4,-6.194079113236981,12
5,-1.0759006211553803,12
6,-0.9825432380453449,12
7,-0.9825432380453449,12
8,-0.5311550230239064,12
9,-0.4239328305043166,12
10,-0.4239328305043166,12
11,-0.4107659258583851,12
12,-0.4107659258583851,12
13,-0.4107659258583851,12
14,-0.4107659258583851,12
15,-0.39899331110197345,12
16,-0.39899331110197345,12
17,-0.39899331110197345,12
18,-0.39812444586134,12
19,-0.39792283559265407,12
20,-0.39792283559265407,12
1,-2.5407234772808565,13
2,-2.5407234772808565,13
3,-0.7516839737355792,13
4,-0.6707449217071133,13
5,-0.6707449217071133,13
6,-0.40026061050867057,13
7,-0.40026061050867057,13
8,-0.40026061050867057,13
9,-0.40026061050867057,13
10,-0.40026061050867057,13
11,-0.40026061050867057,13
12,-0.40026061050867057,13
13,-0.40026061050867057,13
14,-0.40016915837628986,13
15,-0.4001586410180522,13
16,-0.3981484164597795,13
17,-0.397956008603245,13
18,-0.397956008603245,13
19,-0.397956008603245,13
20,-0.39789277950204394,13
1,-0.5162702911171877,14
2,-0.5162702911171877,14
3,-0.5162702911171877,14
4,-0.5162702911171877,14
5,-0.5162702911171877,14
6,-0.5162702911171877,14
7,-0.4803559227039145,14
8,-0.4080190390124052,14
9,-0.4080190390124052,14
10,-0.4080190390124052,14
11,-0.4080190390124052,14
12,-0.4080190390124052,14
13,-0.39799505157806436,14
14,-0.39799505157806436,14
15,-0.39799505157806436,14
16,-0.39799505157806436,14
17,-0.3979819975365473,14
18,-0.39793431428804027,14
19,-0.39793431428804027,14
20,-0.39793431428804027,14
1,-1.5236305001942405,15
2,-1.5236305001942405,15
3,-1.5236305001942405,15
4,-1.5236305001942405,15
5,-0.6181489829013671,15
6,-0.4437406731234468,15
7,-0.41594606672349954,15
8,-0.41594606672349954,15
9,-0.41594606672349954,15
10,-0.41594606672349954,15
11,-0.3981748225985946,15
12,-0.3981748225985946,15
13,-0.3981748225985946,15
14,-0.3981748225985946,15
15,-0.3981748225985946,15
16,-0.3981748225985946,15
17,-0.3980935895307134,15
18,-0.3979100363129575,15
19,-0.3979100363129575,15
20,-0.39789054410533176,15
1,-16.9920093499095,16
2,-4.16258086138039,16
3,-0.8105319230320536,16
4,-0.8105319230320536,16
5,-0.8105319230320536,16
6,-0.515395361685167,16
7,-0.4492668138423497,16
8,-0.4492668138423497,16
9,-0.4492668138423497,16
10,-0.4057470253560247,16
11,-0.4057470253560247,16
12,-0.4057470253560247,16
13,-0.4057470253560247,16
14,-0.4002097653760739,16
15,-0.4002097653760739,16
16,-0.3997410394680738,16
17,-0.39792932123900826,16
18,-0.39792932123900826,16
19,-0.39792932123900826,16
20,-0.39792932123900826,16
1,-6.952992076794043,17
2,-6.952992076794043,17
3,-6.952992076794043,17
4,-5.185375435537853,17
5,-1.2414924520492328,17
6,-0.4966474336710629,17
7,-0.4966474336710629,17
8,-0.4595962004461409,17
9,-0.4595962004461409,17
10,-0.4595962004461409,17
11,-0.4178236371005042,17
12,-0.4091734026089,17
13,-0.4008279125926233,17
14,-0.4008279125926233,17
